,W,L,W/L%,GB,PS/G,PA/G,SRS,Year,Team
0,56,26,.683,—,111.5,105.7,5.22,1991,BOS
1,44,38,.537,12.0,105.4,105.6,-0.39,1991,PHI
2,39,43,.476,17.0,103.1,103.3,-0.43,1991,NYK
3,30,52,.366,26.0,101.4,106.4,-4.84,1991,WSB
4,26,56,.317,30.0,102.9,107.5,-4.53,1991,NJN
5,24,58,.293,32.0,101.8,107.8,-5.91,1991,MIA
6,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,1991,
7,61,21,.744,—,110.0,101.0,8.57,1991,CHI
8,50,32,.610,11.0,100.1,96.8,3.08,1991,DET
9,48,34,.585,13.0,106.4,104.0,2.33,1991,MIL
10,43,39,.524,18.0,109.8,109.0,0.72,1991,ATL
11,41,41,.500,20.0,111.7,112.1,-0.37,1991,IND
12,33,49,.402,28.0,101.7,104.2,-2.33,1991,CLE
13,26,56,.317,35.0,102.8,108.0,-4.95,1991,CHA
14,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,1991,
15,55,27,.671,—,107.1,102.6,4.30,1991,SAS
16,54,28,.659,1.0,104.0,100.7,3.18,1991,UTA
17,52,30,.634,3.0,106.7,103.2,3.27,1991,HOU
18,31,51,.378,24.0,105.9,109.9,-3.79,1991,ORL
19,29,53,.354,26.0,99.6,103.5,-3.75,1991,MIN
20,28,54,.341,27.0,99.9,104.5,-4.27,1991,DAL
21,20,62,.244,35.0,119.9,130.8,-10.31,1991,DEN
22,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,1991,
23,63,19,.768,—,114.7,106.0,8.47,1991,POR
24,58,24,.707,5.0,106.3,99.6,6.73,1991,LAL
25,55,27,.671,8.0,114.0,107.5,6.49,1991,PHX
26,44,38,.537,19.0,116.6,115.0,1.72,1991,GSW
27,41,41,.500,22.0,106.6,105.4,1.31,1991,SEA
28,31,51,.378,32.0,103.5,107.0,-3.16,1991,LAC
29,25,57,.305,38.0,96.7,103.5,-6.27,1991,SAC
30,51,31,.622,—,106.6,103.0,3.41,1992,BOS
31,51,31,.622,—,101.6,97.7,3.67,1992,NYK
32,40,42,.488,11.0,105.4,107.1,-1.54,1992,NJN
33,38,44,.463,13.0,105.0,109.2,-3.94,1992,MIA
34,35,47,.427,16.0,101.9,103.2,-1.34,1992,PHI
35,25,57,.305,26.0,102.4,106.8,-4.35,1992,WSB
36,21,61,.256,30.0,101.6,108.5,-6.52,1992,ORL
37,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,1992,
38,67,15,.817,—,109.9,99.5,10.07,1992,CHI
39,57,25,.695,10.0,108.9,103.4,5.34,1992,CLE
40,48,34,.585,19.0,98.9,96.9,2.06,1992,DET
41,40,42,.488,27.0,112.2,110.3,1.85,1992,IND
42,38,44,.463,29.0,106.2,107.7,-1.15,1992,ATL
43,31,51,.378,36.0,105.0,106.7,-1.46,1992,MIL
44,31,51,.378,36.0,109.5,113.4,-3.57,1992,CHA
45,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,1992,
46,55,27,.671,—,108.3,101.9,5.70,1992,UTA
47,47,35,.573,8.0,104.0,100.6,2.81,1992,SAS
48,42,40,.512,13.0,102.0,103.7,-1.94,1992,HOU
49,24,58,.293,31.0,99.7,107.6,-7.59,1992,DEN
50,22,60,.268,33.0,97.6,105.3,-7.47,1992,DAL
51,15,67,.183,40.0,100.5,107.5,-6.85,1992,MIN
52,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,1992,
53,57,25,.695,—,111.4,104.1,6.94,1992,POR
54,55,27,.671,2.0,118.7,114.8,3.77,1992,GSW
55,53,29,.646,4.0,112.1,106.2,5.68,1992,PHX
56,47,35,.573,10.0,106.5,104.7,1.86,1992,SEA
57,45,37,.549,12.0,102.9,101.9,1.10,1992,LAC
58,43,39,.524,14.0,100.4,101.5,-0.95,1992,LAL
59,29,53,.354,28.0,104.3,110.3,-5.63,1992,SAC
60,60,22,.732,—,101.6,95.4,5.87,1993,NYK
61,48,34,.585,12.0,103.7,102.8,0.93,1993,BOS
62,43,39,.524,17.0,102.8,101.6,1.20,1993,NJN
63,41,41,.500,19.0,105.5,104.2,1.35,1993,ORL
64,36,46,.439,24.0,103.6,104.7,-0.93,1993,MIA
65,26,56,.317,34.0,104.3,110.1,-5.25,1993,PHI
66,22,60,.268,38.0,101.9,108.9,-6.49,1993,WSB
67,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,1993,
68,57,25,.695,—,105.2,98.9,6.19,1993,CHI
69,54,28,.659,3.0,107.7,101.3,6.30,1993,CLE
70,44,38,.537,13.0,110.1,110.4,-0.02,1993,CHA
71,43,39,.524,14.0,107.5,108.4,-0.67,1993,ATL
72,41,41,.500,16.0,107.8,106.1,1.77,1993,IND
73,40,42,.488,17.0,100.6,102.0,-1.10,1993,DET
74,28,54,.341,29.0,102.3,106.1,-3.26,1993,MIL
75,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,1993,
76,55,27,.671,—,104.0,99.8,3.57,1993,HOU
77,49,33,.598,6.0,105.5,102.8,2.21,1993,SAS
78,47,35,.573,8.0,106.2,104.0,1.74,1993,UTA
79,36,46,.439,19.0,105.2,106.9,-2.14,1993,DEN
80,19,63,.232,36.0,98.1,105.9,-7.62,1993,MIN
81,11,71,.134,44.0,99.3,114.5,-14.68,1993,DAL
82,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,1993,
83,62,20,.756,—,113.4,106.7,6.27,1993,PHX
84,55,27,.671,7.0,108.3,101.3,6.66,1993,SEA
85,51,31,.622,11.0,108.5,105.4,2.92,1993,POR
86,41,41,.500,21.0,107.1,106.8,0.33,1993,LAC
87,39,43,.476,23.0,104.2,105.5,-1.20,1993,LAL
88,34,48,.415,28.0,109.9,110.9,-0.94,1993,GSW
89,25,57,.305,37.0,107.9,111.1,-3.00,1993,SAC
90,57,25,.695,—,98.5,91.5,6.48,1994,NYK
91,50,32,.610,7.0,105.7,101.8,3.68,1994,ORL
92,45,37,.549,12.0,103.2,101.0,2.11,1994,NJN
93,42,40,.512,15.0,103.4,100.7,2.40,1994,MIA
94,32,50,.390,25.0,100.8,105.1,-4.28,1994,BOS
95,25,57,.305,32.0,98.0,105.6,-7.37,1994,PHI
96,24,58,.293,33.0,100.4,107.7,-7.13,1994,WSB
97,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,1994,
98,57,25,.695,—,101.4,96.2,4.94,1994,ATL
99,55,27,.671,2.0,98.0,94.9,2.87,1994,CHI
100,47,35,.573,10.0,101.0,97.5,3.26,1994,IND
101,47,35,.573,10.0,101.2,97.1,3.64,1994,CLE
102,41,41,.500,16.0,106.5,106.7,-0.23,1994,CHA
103,20,62,.244,37.0,96.9,103.4,-6.24,1994,MIL
104,20,62,.244,37.0,96.9,104.7,-7.46,1994,DET
105,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,1994,
